Line,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Metropolitan,NORTH HARROW,HARROW-ON-THE-HILL,2,3.08,4.57,4.49
Metropolitan,MOOR PARK,HARROW-ON-THE-HILL,9.39,9.62,10,10
Metropolitan,UXBRIDGE,HILLINGDON,2.03,3,3,3
Metropolitan,HILLINGDON,ICKENHAM,1.08,1.73,2,2
Metropolitan,ICKENHAM,RUISLIP,1.85,2.45,2.5,2.5
Metropolitan,RUISLIP,RUISLIP MANOR,0.72,1.45,1.5,1.5
Metropolitan,RUISLIP MANOR,EASTCOTE,1.14,1.82,2,2
Metropolitan,EASTCOTE,RAYNERS LANE,1.72,2.33,3,3
Metropolitan,RAYNERS LANE,WEST HARROW,1.38,2.08,2,2
Metropolitan,WEST HARROW,HARROW-ON-THE-HILL,1.26,2.15,3.85,4
Metropolitan,HARROW-ON-THE-HILL,FINCHLEY ROAD,11.63,10.15,11.5,11.5
Metropolitan,HARROW-ON-THE-HILL,NORTHWICK PARK,1.29,1.9,2,2
Metropolitan,NORTHWICK PARK,PRESTON ROAD,1.64,2.05,2.35,2
Metropolitan,PRESTON ROAD,WEMBLEY PARK,1.46,1.98,2.55,2.53
Metropolitan,WEMBLEY PARK,FINCHLEY ROAD,7.24,7,7.32,7.52
Metropolitan,FINCHLEY ROAD,BAKER STREET,3.38,6.13,7.11,6.4
Metropolitan,BAKER STREET,GREAT PORTLAND STREET,0.92,1.98,2,2
Metropolitan,GREAT PORTLAND STREET,EUSTON SQUARE,0.61,1.25,1.5,1.5
Metropolitan,EUSTON SQUARE,KINGS CROSS ST PANCRAS,0.85,1.75,2,2
Metropolitan,KINGS CROSS ST PANCRAS,FARRINGDON,1.85,2.98,3.5,3.5
Metropolitan,FARRINGDON,BARBICAN,0.51,1.22,1.5,1.5
Metropolitan,BARBICAN,MOORGATE,0.63,1.32,1.5,1.5
Metropolitan,MOORGATE,LIVERPOOL STREET,0.51,1.18,1.99,1.53
Metropolitan,LIVERPOOL STREET,ALDGATE,0.61,2.18,2.01,2.2
H & C,HAMMERSMITH,GOLDHAWK ROAD,0.82,2.05,2,2
H & C,GOLDHAWK ROAD,SHEPHERDS BUSH,0.51,1.15,1.5,1.5
H & C,SHEPHERDS BUSH,LATIMER ROAD,1.01,1.63,2,2
H & C,LATIMER ROAD,LADBROKE GROVE,0.66,1.37,1.5,1.5
H & C,LADBROKE GROVE,WESTBOURNE PARK,0.79,1.48,1.5,1.5
H & C,WESTBOURNE PARK,ROYAL OAK,0.98,1.78,2,2
H & C,ROYAL OAK,PADDINGTON,0.64,1.52,2,2
H & C,PADDINGTON,EDGWARE ROAD,0.93,2.33,3.71,3.72
H & C,EDGWARE ROAD,BAKER STREET,0.72,1.47,2.84,2.5
H & C,BAKER STREET,GREAT PORTLAND STREET,0.92,1.9,2,2
H & C,GREAT PORTLAND STREET,EUSTON SQUARE,0.61,1.25,1.5,1.5
H & C,EUSTON SQUARE,KINGS CROSS ST PANCRAS,0.85,1.75,2,2
H & C,KINGS CROSS ST PANCRAS,FARRINGDON,1.85,2.98,3.5,3.5
H & C,FARRINGDON,BARBICAN,0.51,1.22,1.5,1.5
H & C,BARBICAN,MOORGATE,0.64,1.32,1.53,1.5
H & C,MOORGATE,LIVERPOOL STREET,0.51,1.18,1.95,1.51
H & C,LIVERPOOL STREET,ALDGATE EAST,0.92,1.93,3.14,2.78
H & C,ALDGATE EAST,WHITECHAPEL,0.82,2.17,2.5,2.01
H & C,WHITECHAPEL,STEPNEY GREEN,1,2.05,2,2
H & C,STEPNEY GREEN,MILE END,1.05,1.73,2,2
H & C,MILE END,BOW ROAD,0.55,1.27,1.5,1.5
H & C,BOW ROAD,BROMLEY BY BOW,1.01,2.12,2,2
H & C,BROMLEY BY BOW,WEST HAM,1.37,2,2,2
H & C,WEST HAM,PLAISTOW,0.76,1.43,2.26,2.04
H & C,PLAISTOW,UPTON PARK,1.29,1.97,2,2
H & C,UPTON PARK,EAST HAM,1.4,2.02,2,2
H & C,EAST HAM,BARKING,2.29,3.78,3.6,3.49
H & C,BARKING,EAST HAM,2.29,2.87,3,3
H & C,EAST HAM,UPTON PARK,1.4,2,2.5,2.5
H & C,UPTON PARK,PLAISTOW,1.29,1.93,2,2
H & C,PLAISTOW,WEST HAM,0.76,1.5,1.5,1.5
H & C,WEST HAM,BROMLEY BY BOW,1.37,2.12,2,2
H & C,BROMLEY BY BOW,BOW ROAD,1.01,2.23,2.5,2.5
H & C,BOW ROAD,MILE END,0.55,1.27,1.5,1.5
H & C,MILE END,STEPNEY GREEN,1.05,1.72,2,2
H & C,STEPNEY GREEN,WHITECHAPEL,1,2.63,3.48,2.56
H & C,WHITECHAPEL,ALDGATE EAST,0.82,2.18,2.45,2.06
H & C,ALDGATE EAST,LIVERPOOL STREET,0.92,2.12,3.02,3.88
H & C,LIVERPOOL STREET,MOORGATE,0.51,1.32,1.5,1.5
H & C,MOORGATE,BARBICAN,0.64,1.38,1.5,1.5
H & C,BARBICAN,FARRINGDON,0.51,1.2,1.92,1.51
H & C,FARRINGDON,KINGS CROSS ST PANCRAS,1.85,3.12,3.5,3.5
H & C,KINGS CROSS ST PANCRAS,EUSTON SQUARE,0.85,1.65,2,2
H & C,EUSTON SQUARE,GREAT PORTLAND STREET,0.61,1.3,1.5,1.5
H & C,GREAT PORTLAND STREET,BAKER STREET,0.92,1.57,2.9,2.07
H & C,BAKER STREET,EDGWARE ROAD,0.72,1.88,3.6,3.08
H & C,EDGWARE ROAD,PADDINGTON,0.93,2.08,2,2
H & C,PADDINGTON,ROYAL OAK,0.64,1.33,1.5,1.5
H & C,ROYAL OAK,WESTBOURNE PARK,0.98,1.72,2,2
H & C,WESTBOURNE PARK,LADBROKE GROVE,0.79,1.48,1.5,1.5
H & C,LADBROKE GROVE,LATIMER ROAD,0.66,1.28,1.5,1.5
H & C,LATIMER ROAD,SHEPHERDS BUSH,1.01,1.7,2,2
H & C,SHEPHERDS BUSH,GOLDHAWK ROAD,0.51,1.15,1,1
H & C,GOLDHAWK ROAD,HAMMERSMITH,0.82,2.43,3.07,3.03
Circle,EDGWARE ROAD,PADDINGTON,0.82,1.85,2,2
Circle,PADDINGTON,BAYSWATER,0.98,1.65,2,2
Circle,BAYSWATER,NOTTING HILL GATE,0.79,1.47,2,2
Circle,NOTTING HILL GATE,HIGH STREET KENSINGTON,0.93,1.58,3.57,3.36
Circle,HIGH STREET KENSINGTON,GLOUCESTER ROAD,0.93,1.8,2.66,2.9
Circle,GLOUCESTER ROAD,SOUTH KENSINGTON,0.74,1.43,1.5,1.5
Circle,SOUTH KENSINGTON,SLOANE SQUARE,1.22,1.98,2,2
Circle,SLOANE SQUARE,VICTORIA,1.05,1.8,2,2
Circle,VICTORIA,ST JAMES PARK,0.72,1.42,1.5,1.5
Circle,ST JAMES PARK,WESTMINSTER,0.76,1.5,2,2
Circle,WESTMINSTER,EMBANKMENT,0.69,1.37,2,2
Circle,EMBANKMENT,TEMPLE,0.71,1.37,2,2
Circle,TEMPLE,BLACKFRIARS,0.76,1.4,2,2
Circle,BLACKFRIARS,MANSION HOUSE,0.61,1.52,1.95,1.52
Circle,MANSION HOUSE,CANNON STREET,0.31,0.98,1,1
Circle,CANNON STREET,MONUMENT,0.34,0.97,1.5,1.5
Circle,MONUMENT,TOWER HILL,0.68,1.8,2,2.07
Circle,TOWER HILL,ALDGATE,0.5,1.3,4.05,3.18
Circle,ALDGATE,LIVERPOOL STREET,0.61,1.75,2,2.42
Circle,LIVERPOOL STREET,MOORGATE,0.51,1.32,1.5,1.5
Circle,MOORGATE,BARBICAN,0.64,1.38,1.5,1.5
Circle,BARBICAN,FARRINGDON,0.51,1.2,1.92,1.51
Circle,FARRINGDON,KINGS CROSS ST PANCRAS,1.85,3.12,3.5,3.5
Circle,KINGS CROSS ST PANCRAS,EUSTON SQUARE,0.85,1.65,2,2
Circle,EUSTON SQUARE,GREAT PORTLAND STREET,0.61,1.3,1.5,1.5
Circle,GREAT PORTLAND STREET,BAKER STREET,0.92,1.57,2.9,2.07
Circle,BAKER STREET,EDGWARE ROAD,0.72,1.88,3.6,3.08
Circle,EDGWARE ROAD,BAKER STREET,0.72,1.47,2.84,2.5
Circle,BAKER STREET,GREAT PORTLAND STREET,0.92,1.9,2,2
Circle,GREAT PORTLAND STREET,EUSTON SQUARE,0.61,1.25,1.5,1.5
Circle,EUSTON SQUARE,KINGS CROSS ST PANCRAS,0.85,1.75,2,2
Circle,KINGS CROSS ST PANCRAS,FARRINGDON,1.85,2.98,3.5,3.5
Circle,FARRINGDON,BARBICAN,0.51,1.22,1.5,1.5
Circle,BARBICAN,MOORGATE,0.64,1.32,1.53,1.5
Circle,MOORGATE,LIVERPOOL STREET,0.51,1.18,1.95,1.51
Circle,LIVERPOOL STREET,ALDGATE,0.61,2.18,2.55,2.51
Circle,ALDGATE,TOWER HILL,0.5,1.37,2.02,2.1
Circle,TOWER HILL,MONUMENT,0.68,1.48,1.5,1.5
Circle,MONUMENT,CANNON STREET,0.34,0.88,1,1
Circle,CANNON STREET,MANSION HOUSE,0.31,0.93,1.5,1.5
Circle,MANSION HOUSE,BLACKFRIARS,0.61,1.22,1.52,1.5
Circle,BLACKFRIARS,TEMPLE,0.76,1.37,1.5,1.5
Circle,TEMPLE,EMBANKMENT,0.71,1.43,2,2.01
Circle,EMBANKMENT,WESTMINSTER,0.69,1.4,1.5,1.5
Circle,WESTMINSTER,ST JAMES PARK,0.76,1.52,1.5,1.5
Circle,ST JAMES PARK,VICTORIA,0.72,1.33,2,2
Circle,VICTORIA,SLOANE SQUARE,1.05,1.75,2,2
Circle,SLOANE SQUARE,SOUTH KENSINGTON,1.22,2,2.98,2.5
Circle,SOUTH KENSINGTON,GLOUCESTER ROAD,0.74,1.48,2.02,2.54
Circle,GLOUCESTER ROAD,HIGH STREET KENSINGTON,0.93,2.23,3.98,2.92
Circle,HIGH STREET KENSINGTON,NOTTING HILL GATE,0.93,1.68,2,2
Circle,NOTTING HILL GATE,BAYSWATER,0.79,1.77,2,2
Circle,BAYSWATER,PADDINGTON,0.98,1.63,2.45,2.01
Circle,PADDINGTON,EDGWARE ROAD,0.82,2.15,3.71,3.72
District,UPMINSTER,UPMINSTER BRIDGE,1.24,2.08,2,2.03
District,UPMINSTER BRIDGE,HORNCHURCH,1.26,1.78,2,2
District,HORNCHURCH,ELM PARK,1.5,1.98,2.5,2.5
District,ELM PARK,DAGENHAM EAST,2.37,2.77,3.07,3.18
District,DAGENHAM EAST,DAGENHAM HEATHWAY,1.35,1.83,2,2
District,DAGENHAM HEATHWAY,BECONTREE,1.37,1.88,2.5,2.5
District,BECONTREE,UPNEY,1.87,2.33,2.5,2.5
District,UPNEY,BARKING,1.38,1.92,2.66,3.82
District,BARKING,EAST HAM,2.29,2.87,3,3
District,EAST HAM,UPTON PARK,1.4,2,2.5,2.5
District,UPTON PARK,PLAISTOW,1.29,1.93,2,2.01
District,PLAISTOW,WEST HAM,0.76,1.5,1.5,1.5
District,WEST HAM,BROMLEY BY BOW,1.37,2.12,2,2
District,BROMLEY BY BOW,BOW ROAD,1.01,2.23,2.5,2.5
District,BOW ROAD,MILE END,0.55,1.27,1.5,1.5
District,MILE END,STEPNEY GREEN,1.05,1.72,2,2
District,STEPNEY GREEN,WHITECHAPEL,1,2.63,3.54,3.51
District,WHITECHAPEL,ALDGATE EAST,0.82,2.18,2.46,2.05
District,ALDGATE EAST,TOWER HILL,0.8,1.87,3.03,3.65
District,TOWER HILL,MONUMENT,0.68,1.48,1.5,1.5
District,MONUMENT,CANNON STREET,0.34,0.88,1,1
District,CANNON STREET,MANSION HOUSE,0.31,0.93,1.5,1.5
District,MANSION HOUSE,BLACKFRIARS,0.61,1.22,1.5,1.5
District,BLACKFRIARS,TEMPLE,0.76,1.37,1.5,1.5
District,TEMPLE,EMBANKMENT,0.71,1.43,2,2
District,EMBANKMENT,WESTMINSTER,0.69,1.4,1.5,1.5
District,WESTMINSTER,ST JAMES PARK,0.76,1.52,1.5,1.5
District,ST JAMES PARK,VICTORIA,0.72,1.33,2,2
District,VICTORIA,SLOANE SQUARE,1.05,1.75,2,2
District,SLOANE SQUARE,SOUTH KENSINGTON,1.22,2,3,2.5
District,SOUTH KENSINGTON,GLOUCESTER ROAD,0.74,1.48,2,2.01
District,GLOUCESTER ROAD,EARLS COURT,0.93,1.82,3.04,3.59
District,EDGWARE ROAD,PADDINGTON,0.82,1.85,2,2
District,PADDINGTON,BAYSWATER,0.98,1.65,2,2
District,BAYSWATER,NOTTING HILL GATE,0.79,1.47,2,2
District,NOTTING HILL GATE,HIGH STREET KENSINGTON,0.93,1.58,3.28,3.36
District,HIGH STREET KENSINGTON,EARLS COURT,1.26,2.72,4.11,3.82
District,EARLS COURT,KENSINGTON OLYMPIA,1.54,3.08,3,3
District,EARLS COURT,WEST BROMPTON,0.6,1.42,1.5,1.5
District,WEST BROMPTON,FULHAM BROADWAY,0.84,1.55,1.5,1.5
District,FULHAM BROADWAY,PARSONS GREEN,0.79,1.5,2,2
District,PARSONS GREEN,PUTNEY BRIDGE,0.95,2.32,2.5,2.5
District,PUTNEY BRIDGE,EAST PUTNEY,1.11,2.18,2,2
District,EAST PUTNEY,SOUTHFIELDS,1.53,2.35,2.5,2.5
District,SOUTHFIELDS,WIMBLEDON PARK,1.45,2.05,2.5,2.51
District,WIMBLEDON PARK,WIMBLEDON,1.5,3.5,3.02,3.08
District,EARLS COURT,WEST KENSINGTON,0.9,1.62,2,2
District,WEST KENSINGTON,BARONS COURT,0.64,1.32,1.5,1.5
District,BARONS COURT,HAMMERSMITH,0.68,1.33,1.5,1.5
District,HAMMERSMITH,RAVENSCOURT PARK,0.93,1.63,2,2
District,RAVENSCOURT PARK,STAMFORD BROOK,0.77,1.37,1.5,1.5
District,STAMFORD BROOK,TURNHAM GREEN,0.55,1.17,1.97,1.58
District,TURNHAM GREEN,CHISWICK PARK,0.95,1.58,2,2
District,CHISWICK PARK,ACTON TOWN,1.22,1.83,2.63,2.06
District,ACTON TOWN,EALING COMMON,1.03,1.5,2,2
District,EALING COMMON,EALING BROADWAY,1.5,3.5,3.5,3.54
District,TURNHAM GREEN,GUNNERSBURY,1.59,2.28,3.15,3
District,GUNNERSBURY,KEW GARDENS,1.71,2.43,2.5,2.5
District,KEW GARDENS,RICHMOND,2.14,4.1,3.57,3.5
District,EALING BROADWAY,EALING COMMON,1.5,2.67,3,3
District,EALING COMMON,ACTON TOWN,1.03,1.9,3.26,2.96
District,ACTON TOWN,CHISWICK PARK,1.22,1.8,2,2
District,CHISWICK PARK,TURNHAM GREEN,0.95,1.48,2.07,2.09
District,TURNHAM GREEN,STAMFORD BROOK,0.55,1.15,1.5,1.5
District,STAMFORD BROOK,RAVENSCOURT PARK,0.77,1.4,1.5,1.5
District,RAVENSCOURT PARK,HAMMERSMITH,0.93,1.85,2,2
District,HAMMERSMITH,BARONS COURT,0.68,1.43,2,2
District,BARONS COURT,WEST KENSINGTON,0.64,1.28,1.5,1.5
District,WEST KENSINGTON,EARLS COURT,0.9,2.17,2.63,3.3
District,RICHMOND,KEW GARDENS,2.14,3.1,3.02,3
District,KEW GARDENS,GUNNERSBURY,1.71,2.42,3,3
District,GUNNERSBURY,TURNHAM GREEN,1.59,2.6,4.02,3.67
District,WIMBLEDON,WIMBLEDON PARK,1.5,2.82,3,3
District,WIMBLEDON PARK,SOUTHFIELDS,1.45,2.18,2,2
District,SOUTHFIELDS,EAST PUTNEY,1.53,2.37,2.5,2.5
District,EAST PUTNEY,PUTNEY BRIDGE,1.11,1.85,2,2
District,PUTNEY BRIDGE,PARSONS GREEN,0.95,1.92,2,2
District,PARSONS GREEN,FULHAM BROADWAY,0.79,1.48,2,2
District,FULHAM BROADWAY,WEST BROMPTON,0.84,1.57,1.5,1.5
District,WEST BROMPTON,EARLS COURT,0.6,1.42,3.44,3.24
District,KENSINGTON OLYMPIA,EARLS COURT,1.54,2.73,3.65,3.94
District,EARLS COURT,HIGH STREET KENSINGTON,1.26,3.05,3.58,3.12
District,HIGH STREET KENSINGTON,NOTTING HILL GATE,0.93,1.68,2,2
District,NOTTING HILL GATE,BAYSWATER,0.79,1.77,2,2
District,BAYSWATER,PADDINGTON,0.98,1.63,2.45,2.01
District,PADDINGTON,EDGWARE ROAD,0.82,2.15,2.5,2.5
District,EARLS COURT,GLOUCESTER ROAD,0.93,1.92,2.53,2.65
District,GLOUCESTER ROAD,SOUTH KENSINGTON,0.74,1.43,1.5,1.5
District,SOUTH KENSINGTON,SLOANE SQUARE,1.22,1.98,2,2
District,SLOANE SQUARE,VICTORIA,1.05,1.8,2,2
District,VICTORIA,ST JAMES PARK,0.72,1.42,1.5,1.5
District,ST JAMES PARK,WESTMINSTER,0.76,1.5,2,2
District,WESTMINSTER,EMBANKMENT,0.69,1.37,2,2
District,EMBANKMENT,TEMPLE,0.71,1.37,2,2
District,TEMPLE,BLACKFRIARS,0.76,1.4,2,2
District,BLACKFRIARS,MANSION HOUSE,0.61,1.52,1.98,1.52
District,MANSION HOUSE,CANNON STREET,0.31,0.98,1,1
District,CANNON STREET,MONUMENT,0.34,0.97,1.5,1.5
District,MONUMENT,TOWER HILL,0.68,1.8,2.08,2.43
District,TOWER HILL,ALDGATE EAST,0.8,1.88,2.91,2.21
District,ALDGATE EAST,WHITECHAPEL,0.82,2.17,2.72,2.76
District,WHITECHAPEL,STEPNEY GREEN,1,2.05,2,2
District,STEPNEY GREEN,MILE END,1.05,1.73,2,2
District,MILE END,BOW ROAD,0.55,1.27,1.51,1.5
District,BOW ROAD,BROMLEY BY BOW,1.01,2.12,2,2
District,BROMLEY BY BOW,WEST HAM,1.37,2,2,2
District,WEST HAM,PLAISTOW,0.76,1.43,2.04,2
District,PLAISTOW,UPTON PARK,1.29,1.97,2,2
District,UPTON PARK,EAST HAM,1.4,2.02,2,2
District,EAST HAM,BARKING,2.29,3.78,3.9,4.06
District,BARKING,UPNEY,1.38,1.97,2.05,2.01
District,UPNEY,BECONTREE,1.87,2.33,2.5,2.51
District,BECONTREE,DAGENHAM HEATHWAY,1.37,1.88,2.5,2.51
District,DAGENHAM HEATHWAY,DAGENHAM EAST,1.35,1.85,2.22,2.3
District,DAGENHAM EAST,ELM PARK,2.37,2.85,3,3
District,ELM PARK,HORNCHURCH,1.5,2.05,2.5,2.5
District,HORNCHURCH,UPMINSTER BRIDGE,1.26,1.77,2,2
District,UPMINSTER BRIDGE,UPMINSTER,1.24,2.32,2.03,2.01
East London,NEW CROSS,SURREY QUAYS,2.27,3.62,4,4
East London,NEW CROSS GATE,SURREY QUAYS,2.04,2.8,3.5,3.5
East London,SURREY QUAYS,CANADA WATER,0.55,1.47,1.5,1.5
East London,CANADA WATER,ROTHERHITHE,0.32,0.85,1,1
East London,ROTHERHITHE,WAPPING,0.51,1.17,1.5,1.5
East London,WAPPING,SHADWELL,0.77,1.43,1.5,1.5
East London,SHADWELL,WHITECHAPEL,0.98,1.98,2.5,2.17
East London,WHITECHAPEL,SHOREDITCH,0.72,1.85,2,2
East London,SHOREDITCH,WHITECHAPEL,0.72,1.6,2,2
East London,WHITECHAPEL,SHADWELL,0.98,1.82,2,2
East London,SHADWELL,WAPPING,0.77,1.3,1.5,1.5
East London,WAPPING,ROTHERHITHE,0.51,1.17,1.5,1.5
East London,ROTHERHITHE,CANADA WATER,0.32,0.93,1,1
East London,CANADA WATER,SURREY QUAYS,0.55,1.7,2,2.09
East London,SURREY QUAYS,NEW CROSS,2.27,4.27,4.5,4.5
East London,SURREY QUAYS,NEW CROSS GATE,2.04,3.88,3.5,3.5
DLR,Bank,Shadwell,2.28,2,2,2
DLR,Tower Gateway,Shadwell,1.01,2,2,2
DLR,Shadell,Limehouse,1.03,2,2,2
DLR,Limehouse,Westferry,0.86,2,2,2
DLR,Westferry,Poplar,0.64,2,2,2
DLR,Westferry,Canary Wharf,0.71,2,2,2
DLR,Poplar,Blackwall,0.59,2,2,2
DLR,Blackwall,East India,0.3,2,2,2
DLR,East India,Canning Town,1,2,2,2
DLR,Canning Town,Royal Victoria,0.88,2,2,2
DLR,Royal Victoria,Custom House,0.48,2,2,2
DLR,Custom House,Prince Regent,0.43,2,2,2
DLR,Prince Regent,Royal Albert,0.85,2,2,2
DLR,Royal Albert,Beckton Park,0.57,2,2,2
DLR,Beckton Park,Cyprus,0.54,2,2,2
DLR,Cyprus,Gallions Reach,0.65,2,2,2
DLR,Gallions Reach,Beckton,1.08,2,2,2
DLR,Canning Town,West Silvertown,1.57,2,2,2
DLR,West Silvertown,Pontoon Dock,0.68,2,2,2
DLR,Pontoon Dock,London City Airport,1.02,2,2,2
DLR,London City Airport,King George V,0.95,2,2,2
DLR,King George V,Woolwich Arsenal,2.36,2,2,2
DLR,Woolwich Arsenal,King George V,2.3,2,2,2
DLR,King George V,London City Airport,0.95,2,2,2
DLR,London City Airport,Pontoon Dock,1.01,2,2,2
DLR,Pontoon Dock,West Silvertown,0.69,2,2,2
DLR,West Silvertown,Canning Town,1.58,2,2,2
DLR,Beckton,Gallions Reach,1.09,2,2,2
DLR,Gallions Reach,Cyprus,0.66,2,2,2
DLR,Cyprus,Beckton Park,0.54,2,2,2
DLR,Beckton Park,Royal Albert,0.56,2,2,2
DLR,Royal Albert,Prince Regent,0.85,2,2,2
DLR,Prince Regent,Custom House,0.41,2,2,2
DLR,Custom House,Royal Victoria,0.49,2,2,2
DLR,Royal Victoria,Canning Town,0.89,2,2,2
DLR,Canning Town,East India,0.99,2,2,2
DLR,East India,Blackwall,0.3,2,2,2
DLR,Blackwall,Poplar,0.59,2,2,2
DLR,West India Quay,Westferry,0.49,2,2,2
DLR,Poplar,Westferry,0.65,2,2,2
DLR,Westferry,Limehouse,0.86,2,2,2
DLR,Limehouse,Shadell,1.03,2,2,2
DLR,Shadwell,Tower Gateway,1.15,2,2,2
DLR,Shadwell,Bank,2.26,2,2,2
DLR,Lewisham,Elverson Road,0.33,2,2,2
DLR,Elverson Road,Deptford Bridge,0.72,2,2,2
DLR,Deptford Bridge,Greenwich,0.66,2,2,2
DLR,Greenwich,Cutty Sark,0.59,2,2,2
DLR,Cutty Sark,Island Gardens,0.68,2,2,2
DLR,Island Gardens,Mudchute,0.38,2,2,2
DLR,Mudchute,Crossharbour,0.39,2,2,2
DLR,Crossharbour,South Quay,0.5,2,2,2
DLR,South Quay,Heron Quays,0.5,2,2,2
DLR,Heron Quays,Canary Wharf,0.15,2,2,2
DLR,Canary Wharf,West India Quay,0.09,2,2,2
DLR,West India Quay,Poplar,0.24,2,2,2
DLR,Poplar,All Saints,0.6,2,2,2
DLR,All Saints,Langdon Park,0.44,2,2,2
DLR,Langdon Park,Devons Road,0.72,2,2,2
DLR,Devons Road,Bow Church,0.53,2,2,2
DLR,Bow Church,Pudding Mill Lane,0.94,2,2,2
DLR,Pudding Mill Lane,Stratford,0.89,2,2,2
DLR,Canning Town,Star Lane,0.7,2,2,2
DLR,Star Lane,West Ham,0.69,2,2,2
DLR,West Ham,Abbey Road,0.5,2,2,2
DLR,Abbey Road,Stratford High Street,0.53,2,2,2
DLR,Stratford High Street,Stratford,0.35,2,2,2
DLR,Stratford,Stratford International,1.24,2,2,2
DLR,Stratford International,Stratford,1.23,2,2,2
DLR,Stratford,Stratford High Street,0.35,2,2,2
DLR,Stratford High Street,Abbey Road,0.54,2,2,2
DLR,Abbey Road,West Ham,0.5,2,2,2
DLR,West Ham,Star Lane,0.69,2,2,2
DLR,Star Lane,Canning Town,0.69,2,2,2
DLR,Stratford,Pudding Mill Lane,0.89,2,2,2
DLR,Pudding Mill Lane,Bow Church,0.94,2,2,2
DLR,Bow Church,Devons Road,0.54,2,2,2
DLR,Devons Road,Langdon Park,0.72,2,2,2
DLR,Langdon Park,All Saints,0.47,2,2,2
DLR,All Saints,Poplar,0.59,2,2,2
DLR,Poplar,West India Quay,0.22,2,2,2
DLR,West India Quay,Canary Wharf,0.09,2,2,2
DLR,Canary Wharf,Heron Quays,0.15,2,2,2
DLR,Heron Quays,South Quay,0.5,2,2,2
DLR,South Quay,Crossharbour,0.51,2,2,2
DLR,Crossharbour,Mudchute,0.4,2,2,2
DLR,Mudchute,Island Gardens,0.37,2,2,2
DLR,Island Gardens,Cutty Sark,0.68,2,2,2
DLR,Cutty Sark,Greenwich,0.61,2,2,2
DLR,Greenwich,Deptford Bridge,0.66,2,2,2
DLR,Deptford Bridge,Elverson Road,0.72,2,2,2
DLR,Elverson Road,Lewisham,0.32,2,2,2
